place1,place2,cooccurrence_count,place1_count,place2_count,jaccard_similarity,prob_place2_given_place1,prob_place1_given_place2
SHOPPING,SERVICES,86,89,96,0.8686868686868687,0.9662921348314607,0.8958333333333334
SPORTS,SERVICES,85,100,96,0.7657657657657657,0.85,0.8854166666666666
SHOPPING,FOOD_DRINK,85,89,90,0.9042553191489362,0.9550561797752809,0.9444444444444444
SPORTS,FOOD_DRINK,84,100,90,0.7924528301886793,0.84,0.9333333333333333
SERVICES,FOOD_DRINK,83,96,90,0.8058252427184466,0.8645833333333334,0.9222222222222223
SPORTS,SHOPPING,82,100,89,0.7663551401869159,0.82,0.9213483146067416
SHOPPING,TRANSPORTATION,81,89,88,0.84375,0.9101123595505618,0.9204545454545454
TRANSPORTATION,SERVICES,81,88,96,0.7864077669902912,0.9204545454545454,0.84375
AUTOMOTIVE,SERVICES,81,83,96,0.826530612244898,0.9759036144578314,0.84375
SPORTS,AUTOMOTIVE,80,100,83,0.7766990291262136,0.8,0.963855421686747
SHOPPING,AUTOMOTIVE,79,89,83,0.8494623655913979,0.8876404494382022,0.9518072289156626
TRANSPORTATION,FOOD_DRINK,79,88,90,0.797979797979798,0.8977272727272727,0.8777777777777778
SPORTS,TRANSPORTATION,78,100,88,0.7090909090909091,0.78,0.8863636363636364
AUTOMOTIVE,FOOD_DRINK,78,83,90,0.8210526315789474,0.9397590361445783,0.8666666666666667
SERVICES,ENTERTAINMENT_RECREATION,77,96,82,0.7623762376237624,0.8020833333333334,0.9390243902439024
SPORTS,HEALTH_WELLNESS,76,100,79,0.7378640776699029,0.76,0.9620253164556962
SHOPPING,ENTERTAINMENT_RECREATION,76,89,82,0.8,0.8539325842696629,0.926829268292683
SPORTS,ENTERTAINMENT_RECREATION,75,100,82,0.7009345794392523,0.75,0.9146341463414634
SHOPPING,HEALTH_WELLNESS,75,89,79,0.8064516129032258,0.8426966292134831,0.9493670886075949
TRANSPORTATION,AUTOMOTIVE,75,88,83,0.78125,0.8522727272727273,0.9036144578313253
FOOD_DRINK,ENTERTAINMENT_RECREATION,75,90,82,0.7731958762886598,0.8333333333333334,0.9146341463414634
FOOD_DRINK,HEALTH_WELLNESS,75,90,79,0.7978723404255319,0.8333333333333334,0.9493670886075949
SHOPPING,PLACE_OF_WORSHIP,74,89,74,0.8314606741573034,0.8314606741573034,1.0
AUTOMOTIVE,HEALTH_WELLNESS,74,83,79,0.8409090909090909,0.891566265060241,0.9367088607594937
SPORTS,PLACE_OF_WORSHIP,73,100,74,0.7227722772277227,0.73,0.9864864864864865
SERVICES,HEALTH_WELLNESS,73,96,79,0.7156862745098039,0.7604166666666666,0.9240506329113924
SERVICES,PLACE_OF_WORSHIP,73,96,74,0.7525773195876289,0.7604166666666666,0.9864864864864865
AUTOMOTIVE,ENTERTAINMENT_RECREATION,72,83,82,0.7741935483870968,0.8674698795180723,0.8780487804878049
FOOD_DRINK,PLACE_OF_WORSHIP,72,90,74,0.782608695652174,0.8,0.972972972972973
TRANSPORTATION,HEALTH_WELLNESS,71,88,79,0.7395833333333334,0.8068181818181818,0.8987341772151899
TRANSPORTATION,ENTERTAINMENT_RECREATION,70,88,82,0.7,0.7954545454545454,0.8536585365853658
AUTOMOTIVE,PLACE_OF_WORSHIP,70,83,74,0.8045977011494253,0.8433734939759037,0.9459459459459459
SPORTS,EDUCATION,69,100,69,0.69,0.69,1.0
SHOPPING,EDUCATION,69,89,69,0.7752808988764045,0.7752808988764045,1.0
TRANSPORTATION,PLACE_OF_WORSHIP,69,88,74,0.7419354838709677,0.7840909090909091,0.9324324324324325
FOOD_DRINK,EDUCATION,69,90,69,0.7666666666666667,0.7666666666666667,1.0
ENTERTAINMENT_RECREATION,HEALTH_WELLNESS,69,82,79,0.75,0.8414634146341463,0.8734177215189873
SHOPPING,FINANCE,68,89,68,0.7640449438202247,0.7640449438202247,1.0
SERVICES,EDUCATION,68,96,69,0.7010309278350515,0.7083333333333334,0.9855072463768116
HEALTH_WELLNESS,PLACE_OF_WORSHIP,68,79,74,0.8,0.8607594936708861,0.918918918918919
SPORTS,FINANCE,67,100,68,0.6633663366336634,0.67,0.9852941176470589
AUTOMOTIVE,EDUCATION,67,83,69,0.788235294117647,0.8072289156626506,0.9710144927536232
SERVICES,FINANCE,67,96,68,0.6907216494845361,0.6979166666666666,0.9852941176470589
FOOD_DRINK,FINANCE,67,90,68,0.7362637362637363,0.7444444444444445,0.9852941176470589
ENTERTAINMENT_RECREATION,PLACE_OF_WORSHIP,67,82,74,0.7528089887640449,0.8170731707317073,0.9054054054054054
TRANSPORTATION,EDUCATION,66,88,69,0.7252747252747253,0.75,0.9565217391304348
AUTOMOTIVE,FINANCE,66,83,68,0.7764705882352941,0.7951807228915663,0.9705882352941176
HEALTH_WELLNESS,FINANCE,66,79,68,0.8148148148148148,0.8354430379746836,0.9705882352941176
ENTERTAINMENT_RECREATION,EDUCATION,65,82,69,0.7558139534883721,0.7926829268292683,0.9420289855072463
HEALTH_WELLNESS,EDUCATION,65,79,69,0.7831325301204819,0.8227848101265823,0.9420289855072463
PLACE_OF_WORSHIP,EDUCATION,65,74,69,0.8333333333333334,0.8783783783783784,0.9420289855072463
TRANSPORTATION,FINANCE,64,88,68,0.6956521739130435,0.7272727272727273,0.9411764705882353
ENTERTAINMENT_RECREATION,FINANCE,64,82,68,0.7441860465116279,0.7804878048780488,0.9411764705882353
PLACE_OF_WORSHIP,FINANCE,64,74,68,0.8205128205128205,0.8648648648648649,0.9411764705882353
SPORTS,GOVERNMENT,63,100,66,0.6116504854368932,0.63,0.9545454545454546
FOOD_DRINK,GOVERNMENT,63,90,66,0.6774193548387096,0.7,0.9545454545454546
SERVICES,GOVERNMENT,62,96,66,0.62,0.6458333333333334,0.9393939393939394
SHOPPING,GOVERNMENT,61,89,66,0.648936170212766,0.6853932584269663,0.9242424242424242
AUTOMOTIVE,GOVERNMENT,60,83,66,0.6741573033707865,0.7228915662650602,0.9090909090909091
TRANSPORTATION,GOVERNMENT,59,88,66,0.6210526315789474,0.6704545454545454,0.8939393939393939
ENTERTAINMENT_RECREATION,GOVERNMENT,59,82,66,0.6629213483146067,0.7195121951219512,0.8939393939393939
HEALTH_WELLNESS,GOVERNMENT,59,79,66,0.686046511627907,0.7468354430379747,0.8939393939393939
EDUCATION,FINANCE,59,69,68,0.7564102564102564,0.855072463768116,0.8676470588235294
PLACE_OF_WORSHIP,GOVERNMENT,57,74,66,0.6867469879518072,0.7702702702702703,0.8636363636363636
EDUCATION,GOVERNMENT,56,69,66,0.7088607594936709,0.8115942028985508,0.8484848484848485
GOVERNMENT,FINANCE,53,66,68,0.654320987654321,0.803030303030303,0.7794117647058824
SPORTS,BUSINESS,42,100,43,0.4158415841584158,0.42,0.9767441860465116
AUTOMOTIVE,BUSINESS,42,83,43,0.5,0.5060240963855421,0.9767441860465116
SERVICES,BUSINESS,42,96,43,0.4329896907216495,0.4375,0.9767441860465116
FOOD_DRINK,BUSINESS,42,90,43,0.46153846153846156,0.4666666666666667,0.9767441860465116
SHOPPING,BUSINESS,41,89,43,0.45054945054945056,0.4606741573033708,0.9534883720930233
TRANSPORTATION,BUSINESS,41,88,43,0.45555555555555555,0.4659090909090909,0.9534883720930233
HEALTH_WELLNESS,BUSINESS,40,79,43,0.4878048780487805,0.5063291139240507,0.9302325581395349
ENTERTAINMENT_RECREATION,BUSINESS,39,82,43,0.45348837209302323,0.47560975609756095,0.9069767441860465
PLACE_OF_WORSHIP,BUSINESS,39,74,43,0.5,0.527027027027027,0.9069767441860465
