predictor,coefficient,std_error,z_value,p_value
(Intercept),-8.877242441774463,1.0000697800978908,-8.87662303015048,6.892089261536059e-19
category_AUTOMOTIVE,-10.28279331489637,1006.8844912142034,-0.010212485547866901,0.9918517570908245
category_BUSINESS,-10.676297647972834,10686.860237716573,-0.0009990116283446412,0.9992029041782681
category_CULTURE,-9.101621450983771,1838.0011087059895,-0.004951912927512649,0.9960489612762318
category_EDUCATION,-9.315499528593193,1397.1857786185599,-0.006667330623565114,0.9946802792469068
category_ENTERTAINMENT_RECREATION,-10.810367739852763,1434.4505880276113,-0.0075362426772170405,0.9939870052393985
category_FACILITIES,0.0,NaN,NaN,NaN
category_FINANCE,-8.255237412259401,1591.9886852017662,-0.005185487490580465,0.9958625981329977
category_FOOD_DRINK,-8.661132491376845,707.2118852815182,-0.012246870664410749,0.9902286552398881
category_GOVERNMENT,-9.655918753738476,2869.410054841996,-0.0033651233421464325,0.9973150251075723
category_HEALTH_WELLNESS,-7.963039392771991,519.9745551648282,-0.015314286658214969,0.9877814447151856
category_LODGING,-0.7341223494721552,2763.6084514240074,-0.0002656390593587464,0.9997880506982841
category_PLACE_OF_WORSHIP,-9.967058148313415,2370.4730620730425,-0.004204670497118813,0.9966451682122424
category_SERVICES,-9.075348979657146,577.7831873748254,-0.015707187709789995,0.9874679927420975
category_SHOPPING,-8.485321168351353,659.5507144623303,-0.012865305096771274,0.9897352548574371
category_SPORTS,-9.95638715994823,1462.2577246721137,-0.006808914045696547,0.9945673145848732
category_TRANSPORTATION,-10.409560163089372,1497.5800919502265,-0.00695092050104212,0.9944540125082241
