model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9994251634691385,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.9998033856039898,10,3,13899,5
high_violence_jenks,0.9994251634691385,0.7857142857142857,0.6875,0.7333333333333334,0.9997212430760377,11,3,13898,5
high_violence_top25,0.9993533089027807,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9997183267409805,5,2,13903,7
high_larceny_top25,0.9996407271682115,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9997523407790879,5,1,13907,4
high_burglary_jenks,0.9998562908672847,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9998802165684443,2,1,13913,1
high_drugs_top25,0.9987784723719192,0.0,0.0,0.0,0.994973383209841,0,1,13900,16
high_burglary_top25,0.999784436300927,0.6666666666666666,0.5,0.5714285714285715,0.9998562495507799,2,1,13912,2
high_larceny_jenks,0.9980599267083423,0.68,0.4722222222222222,0.5573770491803278,0.9994877090187226,17,8,13873,19
high_larceny_top50,0.9984191995401308,0.7391304347826086,0.5151515151515151,0.6071428571428571,0.9995591175366456,17,6,13878,16
high_violence_top50,0.9925271250988,0.6595744680851063,0.2605042016806723,0.3734939759036145,0.9924632847776015,31,16,13782,88
high_drugs_top50,0.9933893798950924,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.9909267696857196,6,8,13819,84
high_drugs_jenks,0.99906589063735,0.0,0.0,0.0,0.9964521155459667,0,1,13904,12
