model,n_observations,n_predictors,deviance,null_deviance,aic,bic,mcfadden_r2,log_likelihood
high_burglary_top50,13917,18,234.70627576946646,234.96831268049075,272.7062757693376,415.98273724431476,0.001115201058538573,-117.35313788466878
high_violence_jenks,13917,18,248.28694063834354,248.5664836552718,286.2869406382238,429.56340211320105,0.0011246207164276045,-124.14347031911191
high_violence_top25,13917,18,193.12306938629507,193.3326838142683,231.12306938625042,374.3995308612276,0.0010842162009948586,-96.56153469312521
high_larceny_top25,13917,18,150.02254640715356,150.17973121448912,188.02254640714813,331.29900788212535,0.0010466446175154687,-75.01127320357406
high_burglary_jenks,13917,18,56.600495671052315,56.65287789095784,94.60049567108261,237.8769571460598,0.0009246171042951445,-28.300247835541306
high_drugs_top25,13917,18,248.28694063834337,248.5664836552634,286.28694063821564,429.56340211319286,0.0011246207163944089,-124.14347031910782
high_burglary_top25,13917,18,73.1655764006781,73.2354264751582,111.16557640059828,254.44203787557547,0.0009537743936507415,-36.58278820029914
high_larceny_jenks,13917,18,500.20642913170303,500.835812839412,538.2064291320455,681.4828906070228,0.0012566667390272457,-250.10321456602279
high_larceny_top50,13917,18,464.2724935075985,464.8493713643484,502.27249350758404,645.5489549825612,0.0012409995415435526,-232.13624675379202
high_violence_top50,13917,18,1368.1874699214177,1370.2743650937477,1406.1874699217526,1549.4639313967298,0.0015229761465962444,-684.0937349608763
high_drugs_top50,13917,18,1085.2303755086064,1086.8069294680563,1123.230375508044,1266.5068369830212,0.0014506292853888603,-542.615187754022
high_drugs_jenks,13917,18,193.12306938629507,193.3326838142575,231.12306938624783,374.399530861225,0.0010842162009390144,-96.56153469312392
