model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9987066178055616,0.0,0.0,0.0,0.008487987339951087,0,3,13899,15
high_violence_jenks,0.9982754904074154,0.0,0.0,0.0,0.00812891158909431,0,8,13893,16
high_violence_top25,0.9988503269382769,0.0,0.0,0.0,0.008989572096368213,0,4,13901,12
high_larceny_top25,0.9992095997700654,0.0,0.0,0.0,0.008556226632154156,0,2,13906,9
high_burglary_jenks,0.9996407271682115,0.0,0.0,0.0,0.009127497484547937,0,2,13912,3
high_drugs_top25,0.9982754904074154,0.0,0.0,0.0,0.008776347025393856,0,8,13893,16
high_burglary_top25,0.9994970180354962,0.0,0.0,0.0,0.008481276503989076,0,3,13910,4
high_larceny_jenks,0.9973413810447654,0.0,0.0,0.0,0.008644910309055544,0,1,13880,36
high_larceny_top50,0.997413235611123,0.0,0.0,0.0,0.00849899164505906,0,3,13881,33
high_violence_top50,0.9908744700725731,0.0,0.0,0.0,0.00884186113929555,0,8,13790,119
high_drugs_top50,0.9933175253287346,0.0,0.0,0.0,0.009184928039343314,0,3,13824,90
high_drugs_jenks,0.9988503269382769,0.0,0.0,0.0,0.008989572096368213,0,4,13901,12
