model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9989221815046346,0.0,0.0,0.0,0.008703783628254927,0,0,13902,15
high_violence_jenks,0.9988503269382769,0.0,0.0,0.0,0.008704409754693906,0,0,13901,16
high_violence_top25,0.9991377452037077,0.0,0.0,0.0,0.00870190578928443,0,0,13905,12
high_larceny_top25,0.9993533089027807,0.0,0.0,0.0,0.008700028760425655,0,0,13908,9
high_burglary_jenks,0.999784436300927,0.0,0.0,0.0,0.008696277130947247,0,0,13914,3
high_drugs_top25,0.9988503269382769,0.0,0.0,0.0,0.008704409754693906,0,0,13901,16
high_burglary_top25,0.9997125817345692,0.0,0.0,0.0,0.008696902177819306,0,0,13913,4
high_larceny_jenks,0.997413235611123,0.0,0.0,0.0,0.008716951228297673,0,0,13881,36
high_larceny_top50,0.9976287993101962,0.0,0.0,0.0,0.008715067703831748,0,0,13884,33
high_violence_top50,0.9914493066034347,0.0,0.0,0.0,0.00876938686766198,0,0,13798,119
high_drugs_top50,0.9935330890278077,0.0,0.0,0.0,0.008750994431185362,0,0,13827,90
high_drugs_jenks,0.9991377452037077,0.0,0.0,0.0,0.00870190578928443,0,0,13905,12
