model,n_observations,n_predictors,deviance,null_deviance,aic,bic,mcfadden_r2,log_likelihood
high_burglary_top50,13917,11,234.70628904692066,234.96831268049075,258.7062890467839,349.19668576782215,0.0011151445511139446,-117.35314452339195
high_violence_jenks,13917,11,248.28697601692681,248.5664836552718,272.2869760168653,362.77737273790353,0.001124478385962302,-124.14348800843264
high_violence_top25,13917,11,193.12311117604142,193.3326838142683,217.12311117602576,307.613507897064,0.0010840000464081845,-96.56155558801288
high_larceny_top25,13917,11,150.0225331104011,150.17973121448912,174.0225331103009,264.51292983133914,0.0010467331564437687,-75.01126655515046
high_burglary_jenks,13917,11,56.6004908822093,56.65287789095784,80.60049088223485,171.09088760327307,0.0009247016338582714,-28.300245441117426
high_drugs_top25,13917,11,248.2869760169269,248.5664836552634,272.28697601686656,362.7773727379048,0.0011244783859281071,-124.14348800843327
high_burglary_top25,13917,11,73.16559312802347,73.2354264751582,97.16559312798306,187.6559898490213,0.0009535459885444686,-36.58279656399153
high_larceny_jenks,13917,11,500.20651432448835,500.835812839412,524.2065143241999,614.6969110452382,0.0012564966378021403,-250.10325716209996
high_larceny_top50,13917,11,464.2726057086272,464.8493713643484,488.2726057087597,578.763002429798,0.0012407581708206994,-232.13630285437986
high_violence_top50,13917,11,1368.1877514697132,1370.2743650937477,1392.1877514705864,1482.6781481916246,0.0015227706780398531,-684.0938757352932
high_drugs_top50,13917,11,1085.2302359428325,1086.8069294680563,1109.2302359427135,1199.7206326637518,0.0014507577035743902,-542.6151179713568
high_drugs_jenks,13917,11,193.1231111760415,193.3326838142575,217.12311117602593,307.61350789706415,0.0010840000463520072,-96.56155558801296
