model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9750664654738809,0.5116279069767442,0.06321839080459771,0.11253196930946294,0.92820306259281,22,21,13548,326
high_violence_jenks,0.9977725084429115,0.2857142857142857,0.07142857142857142,0.1142857142857143,0.9935586229595877,2,5,13884,26
high_violence_top25,0.9891499604799885,0.34615384615384615,0.06293706293706294,0.10650887573964499,0.98742741214064,9,17,13757,134
high_larceny_top25,0.99906589063735,0.8666666666666667,0.7428571428571429,0.8,0.9998332887397864,26,4,13878,9
high_burglary_jenks,0.9993533089027807,0.0,0.0,0.0,0.9996405722090432,0,3,13908,6
high_drugs_top25,0.9991377452037077,0.0,0.0,0.0,0.9950838748480054,0,1,13905,11
high_burglary_top25,0.9961198534166846,0.631578947368421,0.2033898305084746,0.3076923076923077,0.977527512713699,12,7,13851,47
high_larceny_jenks,0.9989221815046346,0.9054054054054054,0.8933333333333333,0.8993288590604026,0.9998401001782016,67,7,13835,8
high_larceny_top50,0.9963354171157577,0.9161290322580645,0.7888888888888889,0.8477611940298507,0.9990301942038129,142,13,13724,38
high_violence_top50,0.9581806423798233,0.5705521472392638,0.1537190082644628,0.24218749999999997,0.9797693251350922,93,70,13242,512
high_drugs_top50,0.9949701803549615,0.1111111111111111,0.015873015873015872,0.027777777777777776,0.9769019777681536,1,8,13846,62
high_drugs_jenks,0.9989940360709924,0.0,0.0,0.0,0.9941356112242188,0,1,13903,13
