model,n_observations,n_predictors,deviance,null_deviance,aic,bic,mcfadden_r2,log_likelihood
high_burglary_top50,13917,18,3248.380424090471,3254.534756560899,3286.3804240910977,3429.656885566075,0.0018910022263616266,-1624.1902120455488
high_violence_jenks,13917,18,403.13932397536666,403.6286936637562,441.1393239752944,584.4157854502716,0.0012124254198766504,-201.5696619876472
high_violence_top25,13917,18,1591.3297297419485,1593.8398115826596,1629.3297297414672,1772.6061912164444,0.001574864564475087,-795.6648648707336
high_larceny_top25,13917,18,488.28630385798715,488.89818750965844,526.2863038578323,669.5627653328095,0.0012515563921152717,-244.14315192891615
high_burglary_jenks,13917,18,104.88193180219153,104.98669595411225,142.88193180214688,286.15839327712405,0.0009978802644338147,-52.44096590107343
high_drugs_top25,13917,18,178.94453130670007,179.13666795951906,216.94453130680216,360.2209927817794,0.0010725702057962083,-89.47226565340108
high_burglary_top25,13917,18,761.3900717192893,762.4223360839687,799.3900717187107,942.6665331936879,0.001353927234059693,-380.69503585935536
high_larceny_jenks,13917,18,931.7887923589456,933.1018320256767,969.7887923594141,1113.0652538343913,0.0014071772465398258,-465.89439617970703
high_larceny_top50,13917,18,1919.7459864083776,1922.9092449177735,1957.745986409038,2101.0224478840155,0.0016450378600844084,-959.872993204519
high_violence_top50,13917,18,4966.6289966283675,4977.431714899258,5004.628996629588,5147.905458104566,0.0021703398237596927,-2483.314498314794
high_drugs_top50,13917,18,804.7261399624806,805.8285679578453,842.7261399626565,986.0026014376336,0.001368067650118765,-402.36306998132824
high_drugs_jenks,13917,18,207.13460571767186,207.36169573021175,245.13460571780266,388.41106719277985,0.0010951396386887913,-103.56730285890133
