model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9749227563411654,0.0,0.0,0.0,0.008843687817820032,0,1,13568,348
high_violence_jenks,0.9977725084429115,0.0,0.0,0.0,0.00849593203254374,0,3,13886,28
high_violence_top25,0.9895810878781347,0.0,0.0,0.0,0.008639465659939016,0,2,13772,143
high_larceny_top25,0.997413235611123,0.0,0.0,0.0,0.009292609134130528,0,1,13881,35
high_burglary_jenks,0.9994970180354962,0.0,0.0,0.0,0.009273237006685357,0,1,13910,6
high_drugs_top25,0.9989940360709924,0.0,0.0,0.0,0.00913274845390479,0,3,13903,11
high_burglary_top25,0.99532945318675,0.0,0.0,0.0,0.008226295280704286,0,6,13852,59
high_larceny_jenks,0.9943953438241,0.0,0.0,0.0,0.008524779656119058,0,3,13839,75
high_larceny_top50,0.9869224689229,0.0,0.0,0.0,0.008662735677367693,0,2,13735,180
high_violence_top50,0.9563124236545233,0.0,0.0,0.0,0.009540264423076924,0,3,13309,605
high_drugs_top50,0.9952575986203923,0.0,0.0,0.0,0.00916702757326404,0,3,13851,63
high_drugs_jenks,0.9989940360709924,0.0,0.0,0.0,0.009277905638665132,0,1,13903,13
