model,n_observations,n_predictors,deviance,null_deviance,aic,bic,mcfadden_r2,log_likelihood
high_burglary_top50,13917,16,Inf,3254.534756560899,Inf,Inf,-Inf,-Inf
high_violence_jenks,13917,16,Inf,403.6286936637562,Inf,Inf,-Inf,-Inf
high_violence_top25,13917,16,Inf,1593.8398115826596,Inf,Inf,-Inf,-Inf
high_larceny_top25,13917,16,Inf,488.89818750965844,Inf,Inf,-Inf,-Inf
high_burglary_jenks,13917,16,Inf,104.98669595411225,Inf,Inf,-Inf,-Inf
high_drugs_top25,13917,16,Inf,179.13666795951906,Inf,Inf,-Inf,-Inf
high_burglary_top25,13917,16,Inf,762.4223360839687,Inf,Inf,-Inf,-Inf
high_larceny_jenks,13917,16,Inf,933.1018320256767,Inf,Inf,-Inf,-Inf
high_larceny_top50,13917,16,Inf,1922.9092449177735,Inf,Inf,-Inf,-Inf
high_violence_top50,13917,16,Inf,4977.431714899258,Inf,Inf,-Inf,-Inf
high_drugs_top50,13917,16,Inf,805.8285679578453,Inf,Inf,-Inf,-Inf
high_drugs_jenks,13917,16,Inf,207.36169573021175,Inf,Inf,-Inf,-Inf
