model,term,coefficient,std_error,z_value,p_value
high_burglary_top50,(Intercept),-3.663340578139746,0.05428810897453312,-67.4796128901495,0.0
high_burglary_top50,PC_1,1.9562976916724313e-20,0.048998442782597545,3.992571152418821e-19,1.0
high_burglary_top50,PC_2,8.71436913849877e-18,0.14055393784832867,6.200017781004769e-17,1.0
high_burglary_top50,PC_3,-2.5424042728418664e-17,0.19255486154538312,-1.3203531982715735e-16,0.9999999999999999
high_burglary_top50,PC_4,-2.7957974000673276e-17,0.21487869213250724,-1.3011049966477222e-16,0.9999999999999999
high_burglary_top50,PC_5,3.5252967082878495e-17,0.22428601715913743,1.5717862187487814e-16,0.9999999999999999
high_burglary_top50,PC_6,3.282591488249309e-18,0.23111869463712892,1.4203054813039623e-17,1.0
high_burglary_top50,PC_7,-2.7416371811666484e-17,0.2561148623603331,-1.0704717234681151e-16,0.9999999999999999
high_burglary_top50,PC_8,-7.177968290885046e-17,0.28048948567107096,-2.5590864034392447e-16,0.9999999999999998
high_burglary_top50,PC_9,8.268854038786016e-17,0.3035864243494782,2.723723254919725e-16,0.9999999999999998
high_burglary_top50,PC_10,1.778218547064956e-16,0.31810024931107667,5.590119941484234e-16,0.9999999999999996
high_violence_jenks,(Intercept),-6.2066473968011735,0.1890752774437937,-32.82632970694024,2.4797872711407306e-236
high_violence_jenks,PC_1,-1.950034261723293e-20,0.17065236454965624,-1.1426939596584812e-19,1.0
high_violence_jenks,PC_2,1.3085724055574282e-17,0.48952294151481923,2.6731584867260283e-17,1.0
high_violence_jenks,PC_3,-3.6558247195957825e-17,0.6706323826258814,-5.4513095614042526e-17,1.0
high_violence_jenks,PC_4,-6.965640331008416e-17,0.7483820877012375,-9.30759894642104e-17,0.9999999999999999
high_violence_jenks,PC_5,9.18345409758501e-19,0.7811460322005465,1.1756385770423154e-18,1.0
high_violence_jenks,PC_6,1.137859886195536e-17,0.8049429633193156,1.413590699027149e-17,1.0
high_violence_jenks,PC_7,-4.6290184645692726e-17,0.8919999162427176,-5.1894830708814705e-17,1.0
high_violence_jenks,PC_8,-1.4225556383589224e-16,0.9768921468272768,-1.4562054193792622e-16,0.9999999999999999
high_violence_jenks,PC_9,7.551540184965742e-17,1.0573344420409623,7.14205447652786e-17,0.9999999999999999
high_violence_jenks,PC_10,1.845936644568442e-16,1.1078833657964795,1.6661831936084366e-16,0.9999999999999999
high_violence_top25,(Intercept),-4.5676934057603855,0.08405662805594451,-54.340669039451875,0.0
high_violence_top25,PC_1,-2.398113383367106e-18,0.07586640901839785,-3.1609686215483796e-17,1.0
high_violence_top25,PC_2,1.3008945175325197e-17,0.2176257434396467,5.977668344615176e-17,1.0
high_violence_top25,PC_3,-2.4177167987852153e-17,0.29814102356884287,-8.109306025196991e-17,0.9999999999999999
high_violence_top25,PC_4,-2.117021421845671e-17,0.33270597637141824,-6.363039957786396e-17,1.0
high_violence_top25,PC_5,2.9798953507966106e-17,0.3472717447450371,8.58087476418335e-17,0.9999999999999999
high_violence_top25,PC_6,3.552824709743829e-17,0.3578510749195913,9.928221427145761e-17,0.9999999999999999
high_violence_top25,PC_7,-4.940070655935896e-17,0.3965537229362871,-1.2457506688771145e-16,0.9999999999999999
high_violence_top25,PC_8,-1.0987407561501855e-16,0.43429400684626046,-2.5299468535819293e-16,0.9999999999999998
high_violence_top25,PC_9,1.0303831205301523e-17,0.4700559963573076,2.1920433491224277e-17,1.0
high_violence_top25,PC_10,1.8258704878841187e-16,0.4925283795275977,3.7071376265371327e-16,0.9999999999999997
high_larceny_top25,(Intercept),-5.983000213033798,0.16921952027515924,-35.35644234958914,7.98238581302202e-274
high_larceny_top25,PC_1,-5.866035420471311e-18,0.15273129122605034,-3.8407554688903076e-17,1.0
high_larceny_top25,PC_2,7.66049154016886e-18,0.4381156460365219,1.748509008858878e-17,1.0
high_larceny_top25,PC_3,-3.0626278367831776e-17,0.6002058629937681,-5.1026289905051737e-17,1.0
high_larceny_top25,PC_4,-3.3456043539422434e-17,0.669790675837943,-4.994999892700384e-17,1.0
high_larceny_top25,PC_5,4.069349679920444e-17,0.6991139117757725,5.820724793738063e-17,1.0
high_larceny_top25,PC_6,1.0552878113475515e-17,0.7204118060450866,1.4648396965353272e-17,1.0
high_larceny_top25,PC_7,-4.4646322409746675e-17,0.7983264652722528,-5.592489332609181e-17,1.0
high_larceny_top25,PC_8,-1.0870577217234144e-16,0.8743037306705685,-1.2433410536744124e-16,0.9999999999999999
high_larceny_top25,PC_9,4.7527930410183594e-17,0.9462983710589139,5.022510009924199e-17,1.0
high_larceny_top25,PC_10,1.6922171682041073e-16,0.9915388950659568,1.706657375343346e-16,0.9999999999999999
high_burglary_jenks,(Intercept),-7.748675701867881,0.4083235332254127,-18.97680410594965,2.6524767112136065e-80
high_burglary_jenks,PC_1,-2.0425539455057617e-18,0.3685377453268633,-5.542319535531377e-18,1.0
high_burglary_jenks,PC_2,6.305053738101332e-18,1.0571648487129552,5.964115951998797e-18,1.0
high_burglary_jenks,PC_3,-4.172551006649815e-17,1.4482855065521707,-2.8810279380500794e-17,1.0
high_burglary_jenks,PC_4,-5.069809661239732e-17,1.6161923567380214,-3.1368850620431e-17,1.0
high_burglary_jenks,PC_5,3.031028318369643e-17,1.6869487758808472,1.796751840782468e-17,1.0
high_burglary_jenks,PC_6,3.64179219704971e-17,1.7383401958787692,2.094982446867199e-17,1.0
high_burglary_jenks,PC_7,-3.5510215814163176e-17,1.9263468093826894,-1.8433968193682975e-17,1.0
high_burglary_jenks,PC_8,-1.394180191661277e-16,2.1096785278617385,-6.608495907072374e-17,1.0
high_burglary_jenks,PC_9,4.863073995411225e-17,2.2834002467796344,2.1297510159551756e-17,1.0
high_burglary_jenks,PC_10,1.922762744081476e-16,2.3925647839292927,8.036408280338123e-17,0.9999999999999999
high_drugs_top25,(Intercept),-7.14218013291475,0.3015188313347359,-23.687343511177733,4.869170633487542e-124
high_drugs_top25,PC_1,-1.6254510260972255e-18,0.27213976474961105,-5.972853792949965e-18,1.0
high_drugs_top25,PC_2,1.961957343056398e-18,0.7806434941287715,2.5132565092930395e-18,1.0
high_drugs_top25,PC_3,-4.3345653192337476e-20,1.0694591857716287,-4.053044171205377e-20,1.0
high_drugs_top25,PC_4,-1.4079653288237224e-17,1.1934468404659897,-1.1797469992664043e-17,1.0
high_drugs_top25,PC_5,5.742477480201715e-17,1.2456955870441062,4.6098561638385183e-17,1.0
high_drugs_top25,PC_6,3.887501185044929e-17,1.283644614316682,3.0284871230611975e-17,1.0
high_drugs_top25,PC_7,-6.141752929122713e-17,1.4224745610971667,-4.317653965203797e-17,1.0
high_drugs_top25,PC_8,-8.33868770539521e-17,1.5578524195951617,-5.352681422520228e-17,1.0
high_drugs_top25,PC_9,7.207566804107396e-17,1.6861339547097898,4.274611031925949e-17,1.0
high_drugs_top25,PC_10,1.6103926922495115e-16,1.7667444534595438,9.115028996390096e-17,0.9999999999999999
high_burglary_top25,(Intercept),-5.459074731355839,0.13024483593578232,-41.91394378236582,0.0
high_burglary_top25,PC_1,-1.6636821944056192e-18,0.1175541801303477,-1.4152471588512437e-17,1.0
high_burglary_top25,PC_2,-4.9956847496392314e-18,0.3372087354114933,-1.4814814164120137e-17,1.0
high_burglary_top25,PC_3,-2.271245744030908e-17,0.46196629104138565,-4.9164750504002396e-17,1.0
high_burglary_top25,PC_4,-3.019356875107624e-17,0.5155243115213791,-5.856866121787953e-17,1.0
high_burglary_top25,PC_5,4.382473642424059e-17,0.5380938120590162,8.144441627482245e-17,0.9999999999999999
high_burglary_top25,PC_6,3.0187082300963853e-17,0.5544863697283317,5.44415227298624e-17,1.0
high_burglary_top25,PC_7,-4.308533715868862e-17,0.6144557041853349,-7.011951694030173e-17,0.9999999999999999
high_burglary_top25,PC_8,-1.1700878548236598e-16,0.6729338658688222,-1.7387858067047407e-16,0.9999999999999999
high_burglary_top25,PC_9,5.741807867659788e-17,0.7283466817802987,7.883344582040355e-17,0.9999999999999999
high_burglary_top25,PC_10,1.911734995036595e-16,0.763167396419868,2.505000873995442e-16,0.9999999999999998
high_larceny_jenks,(Intercept),-5.217974060908698,0.1157219110300668,-45.090631622502045,0.0
high_larceny_jenks,PC_1,3.3295463121323073e-18,0.10444632431311053,3.187806113837908e-17,1.0
high_larceny_jenks,PC_2,7.82107356589244e-18,0.2996083414553991,2.6104325159640844e-17,1.0
high_larceny_jenks,PC_3,-2.9374493696615744e-17,0.41045483029469076,-7.156571570987723e-17,0.9999999999999999
high_larceny_jenks,PC_4,-1.9552015708416506e-17,0.4580408741973311,-4.268618110267861e-17,1.0
high_larceny_jenks,PC_5,2.910157023557917e-17,0.4780937670006759,6.087000551826484e-17,1.0
high_larceny_jenks,PC_6,1.0474416351678788e-17,0.4926584757396778,2.12610091320412e-17,1.0
high_larceny_jenks,PC_7,-2.90123099486061e-17,0.5459409413108068,-5.3141846953165675e-17,1.0
high_larceny_jenks,PC_8,-8.853496987730216e-17,0.5978985070362919,-1.480769208074443e-16,0.9999999999999999
high_larceny_jenks,PC_9,1.5515871037137842e-17,0.6471325277693294,2.3976342358529194e-17,1.0
high_larceny_jenks,PC_10,2.0914592113084498e-16,0.6780705654471557,3.084427075711848e-16,0.9999999999999998
high_larceny_top50,(Intercept),-4.334889820866705,0.07495759648732131,-57.83122757411157,0.0
high_larceny_top50,PC_1,-3.7656482857291784e-18,0.06765395907099984,-5.566042752615994e-17,1.0
