model,accuracy,precision,recall,f1_score,auc_approx,true_positive,false_positive,true_negative,false_negative
high_burglary_top50,0.9749946109075232,0.0,0.0,0.0,0.0008106713833001695,0,0,13569,348
high_violence_jenks,0.9979880721419846,0.0,0.0,0.0,0.0005039959680322557,0,0,13889,28
high_violence_top25,0.98972479701085,0.0,0.0,0.0,0.0005082038623493539,0,0,13774,143
high_larceny_top25,0.9974850901774808,0.0,0.0,0.0,0.00028814291888776836,0,0,13882,35
high_burglary_jenks,0.9995688726018539,0.0,0.0,0.0,0.0005031989073395155,0,0,13911,6
high_drugs_top25,0.9992095997700654,0.0,0.0,0.0,0.00043146843089313965,0,0,13906,11
high_burglary_top25,0.9957605805848961,0.0,0.0,0.0,0.0005051233944292105,0,0,13858,59
high_larceny_jenks,0.994610907523173,0.0,0.0,0.0,0.00043346337234503684,0,0,13842,75
high_larceny_top50,0.9870661780556155,0.0,0.0,0.0,0.00029118439251656113,0,0,13737,180
high_violence_top50,0.9565279873535963,0.0,0.0,0.0,0.0007512019230769231,0,0,13312,605
high_drugs_top50,0.9954731623194654,0.0,0.0,0.0,0.0003609065973726,0,0,13854,63
high_drugs_jenks,0.99906589063735,0.0,0.0,0.0,0.00035960874568469507,0,0,13904,13
