category,category_AUTOMOTIVE,category_BUSINESS,category_CULTURE,category_EDUCATION,category_ENTERTAINMENT_RECREATION,category_FACILITIES,category_FINANCE,category_FOOD_DRINK,category_GOVERNMENT,category_HEALTH_WELLNESS,category_LODGING,category_PLACE_OF_WORSHIP,category_SERVICES,category_SHOPPING,category_SPORTS,category_TRANSPORTATION
category_AUTOMOTIVE,1070,1,44,70,93,0,49,182,25,200,25,31,294,216,81,104
category_BUSINESS,1,9,1,1,3,0,3,2,1,2,0,0,3,3,0,3
category_CULTURE,44,1,243,22,35,0,13,64,7,44,10,12,75,72,19,21
category_EDUCATION,70,1,22,474,55,0,31,62,9,101,14,26,129,88,40,40
category_ENTERTAINMENT_RECREATION,93,3,35,55,580,0,36,105,16,96,29,22,134,102,61,51
category_FACILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
category_FINANCE,49,3,13,31,36,0,283,106,9,97,14,11,109,102,17,37
category_FOOD_DRINK,182,2,64,62,105,0,106,1516,18,228,48,38,398,432,56,108
category_GOVERNMENT,25,1,7,9,16,0,9,18,114,24,5,2,33,28,7,10
category_HEALTH_WELLNESS,200,2,44,101,96,0,97,228,24,2454,36,31,356,280,59,89
category_LODGING,25,0,10,14,29,0,14,48,5,36,124,5,42,41,8,16
category_PLACE_OF_WORSHIP,31,0,12,26,22,0,11,38,2,31,5,188,49,50,14,20
category_SERVICES,294,3,75,129,134,0,109,398,33,356,42,49,2423,520,96,135
category_SHOPPING,216,3,72,88,102,0,102,432,28,280,41,50,520,1749,87,126
category_SPORTS,81,0,19,40,61,0,17,56,7,59,8,14,96,87,470,41
category_TRANSPORTATION,104,3,21,40,51,0,37,108,10,89,16,20,135,126,41,500
