component,place_type,loading,rank
1,restaurant,-0.9911002283021807,1
1,store,-0.9858506221645805,2
1,point_of_interest,-0.985534070729103,3
1,consultant,-0.9849974120790198,4
1,transit_station,-0.9849197907637488,5
2,heliport,-0.8525875313000794,1
2,airport,-0.8525875313000794,2
2,camping_cabin,-0.8525875313000794,3
2,fishing_charter,-0.8525875313000794,4
2,embassy,-0.8525875313000794,5
3,chocolate_factory,-0.7006994338106306,1
3,ferry_terminal,-0.7006994338106259,2
3,wholesaler,-0.6677757863673437,3
3,amphitheatre,-0.646099720938267,4
3,moving_company,-0.6137149597169285,5
4,chocolate_factory,0.6030506913582492,1
4,ferry_terminal,0.6030506913582449,2
4,wholesaler,0.5503222677216403,3
4,amphitheatre,0.48350009299079755,4
4,sushi_restaurant,-0.44937026315328255,5
5,cottage,0.6198344451108055,1
5,dessert_restaurant,0.6018387904167948,2
5,acai_shop,-0.44343335104489146,3
5,brazilian_restaurant,-0.44343335104489146,4
5,public_bath,0.42746560797987754,5
6,public_bath,0.6943821593461083,1
6,hindu_temple,0.5940450004781817,2
6,tourist_information_center,-0.5233667974038816,3
6,visitor_center,-0.47523518262797904,4
6,amusement_center,-0.4236965626221905,5
7,cottage,-0.5851238221970751,1
7,warehouse_store,0.5691084500504708,2
7,stable,-0.4485166486423086,3
7,transit_depot,-0.4422682177404361,4
7,video_arcade,0.4251365782802332,5
8,amusement_park,-0.5966677072048061,1
8,water_park,-0.513760575161498,2
8,tanning_studio,-0.48406641730342514,3
8,dog_cafe,-0.4154000317778388,4
8,shoe_store,-0.3968538266836894,5
9,mediterranean_restaurant,-0.5213627665374506,1
9,picnic_ground,-0.4804816312616005,2
9,zoo,-0.4299038526622935,3
9,video_arcade,0.376795532741126,4
9,thai_restaurant,-0.37426103351140727,5
10,cultural_landmark,0.5272682449818944,1
10,fire_station,0.4164684408599778,2
10,picnic_ground,0.3477951594232734,3
10,greek_restaurant,-0.34687215933739457,4
10,swimming_pool,-0.3445198513306264,5
