threshold,n_interactions,crime_type,target_method,converged,aic,r2,n_significant_predictors,mean_vif,max_vif
0.6,66,larceny,top25,true,Inf,-Inf,0,Inf,Inf
0.6,66,larceny,top50,true,Inf,-Inf,0,Inf,Inf
0.6,66,larceny,jenks,true,Inf,-Inf,0,Inf,Inf
0.6,66,violence,top25,true,Inf,-Inf,0,Inf,Inf
0.6,66,violence,top50,true,Inf,-Inf,0,Inf,Inf
0.6,66,violence,jenks,true,Inf,-Inf,0,Inf,Inf
0.6,66,burglary,top25,true,Inf,-Inf,0,Inf,Inf
0.6,66,burglary,top50,true,Inf,-Inf,0,Inf,Inf
0.6,66,burglary,jenks,true,Inf,-Inf,0,Inf,Inf
0.6,66,drugs,top25,true,Inf,-Inf,0,Inf,Inf
0.6,66,drugs,top50,true,Inf,-Inf,0,Inf,Inf
0.6,66,drugs,jenks,true,Inf,-Inf,0,Inf,Inf
0.65,62,larceny,top25,true,Inf,-Inf,0,Inf,Inf
0.65,62,larceny,top50,true,Inf,-Inf,0,Inf,Inf
0.65,62,larceny,jenks,true,Inf,-Inf,0,Inf,Inf
0.65,62,violence,top25,true,Inf,-Inf,0,Inf,Inf
0.65,62,violence,top50,true,Inf,-Inf,0,Inf,Inf
0.65,62,violence,jenks,true,Inf,-Inf,0,Inf,Inf
0.65,62,burglary,top25,true,Inf,-Inf,0,Inf,Inf
0.65,62,burglary,top50,true,Inf,-Inf,0,Inf,Inf
0.65,62,burglary,jenks,true,Inf,-Inf,0,Inf,Inf
0.65,62,drugs,top25,true,Inf,-Inf,0,Inf,Inf
0.65,62,drugs,top50,true,Inf,-Inf,0,Inf,Inf
0.65,62,drugs,jenks,true,Inf,-Inf,0,Inf,Inf
0.75,39,larceny,top25,true,Inf,-Inf,0,Inf,Inf
0.75,39,larceny,top50,true,Inf,-Inf,0,Inf,Inf
0.75,39,larceny,jenks,true,Inf,-Inf,0,Inf,Inf
0.75,39,violence,top25,true,Inf,-Inf,0,Inf,Inf
0.75,39,violence,top50,true,Inf,-Inf,0,Inf,Inf
0.75,39,violence,jenks,true,Inf,-Inf,0,Inf,Inf
0.75,39,burglary,top25,true,Inf,-Inf,0,Inf,Inf
0.75,39,burglary,top50,true,Inf,-Inf,0,Inf,Inf
0.75,39,burglary,jenks,true,Inf,-Inf,0,Inf,Inf
0.75,39,drugs,top25,true,Inf,-Inf,0,Inf,Inf
0.75,39,drugs,top50,true,Inf,-Inf,0,Inf,Inf
0.75,39,drugs,jenks,true,Inf,-Inf,0,Inf,Inf
0.85,2,larceny,top25,true,494.47674929594126,0.0008620163142950554,0,499.63076823657485,499.63076823657485
0.85,2,larceny,top50,true,1926.730230804563,0.0011331861448861114,0,499.63076823657485,499.63076823657485
0.85,2,larceny,jenks,true,938.1974430655639,0.0009692285758776675,0,499.63076823657485,499.63076823657485
0.85,2,violence,top25,true,1598.1110708825972,0.0010846389245317,0,499.63076823657485,499.63076823657485
0.85,2,violence,top50,true,4975.990273592971,0.0014950363430472624,0,499.63076823657485,499.63076823657485
0.85,2,violence,jenks,true,409.29163589304073,0.0008350689040881321,0,499.63076823657485,499.63076823657485
0.85,2,burglary,top25,true,767.711280524798,0.0009326268728216958,0,499.63076823657485,499.63076823657485
0.85,2,burglary,top50,true,3256.2956171178607,0.0013025331605912571,0,499.63076823657485,499.63076823657485
0.85,2,burglary,jenks,true,110.9145256462479,0.0006874233649106776,0,499.63076823657485,499.63076823657485
0.85,2,drugs,top25,true,185.00433378238867,0.0007387330509907031,0,499.63076823657485,499.63076823657485
0.85,2,drugs,top50,true,811.069193659417,0.0009423521685834046,0,499.63076823657485,499.63076823657485
0.85,2,drugs,jenks,true,213.20528753985025,0.0007542771574479135,0,499.63076823657485,499.63076823657485
0.9,1,larceny,top25,true,492.49959297023594,0.0008152915050182452,0,1.0,1.0
0.9,1,larceny,top50,true,1924.848193394748,0.001071840248811795,0,1.0,1.0
0.9,1,larceny,jenks,true,936.2464273240942,0.0009167324212832062,0,1.0,1.0
0.9,1,violence,top25,true,1596.204699879173,0.0010258946303337568,0,1.0,1.0
0.9,1,violence,top50,true,4974.391421632343,0.00141444296405413,0,1.0,1.0
0.9,1,violence,jenks,true,407.30990119667393,0.0007898161648031143,0,1.0,1.0
0.9,1,burglary,top25,true,765.7498207906674,0.0008820771138372541,0,1.0,1.0
0.9,1,burglary,top50,true,3254.524713221232,0.0012321402721559016,0,1.0,1.0
0.9,1,burglary,jenks,true,108.91844025780658,0.0006501366259369368,0,1.0,1.0
0.9,1,drugs,top25,true,183.01150717528452,0.0006986888028858163,0,1.0,1.0
0.9,1,drugs,top50,true,809.1103505268477,0.0008912781944168113,0,1.0,1.0
0.9,1,drugs,jenks,true,211.2137674165312,0.0007133830240537709,0,1.0,1.0
