component,mean,std,min,q25,median,q75,max,prop_nonzero
1,1.7616762043638848e-16,11.931763228379271,-104.84715890264886,0.3885013064421198,2.9666159114422763,4.750669656347807,4.919289650917436,1.0
2,-5.688746076591711e-17,4.159526419474096,-38.687567578438575,-0.05345029031848153,0.4001945771727802,0.5002720667908597,21.750309111612438,1.0
3,2.1103412864775703e-17,3.0362142671918466,-23.208803104899125,0.1307529125331773,0.5606801334942093,0.7439314535803331,8.86492634911069,1.0
4,1.4221865191479277e-16,2.720780790496993,-14.605256156887554,-0.22164539740108247,0.544505156441589,0.6006812521175287,17.899295309928604,1.0
5,-1.6699222353865992e-16,2.606661909852479,-14.34235985608676,-0.4054843034206932,-0.3421202588869895,0.036447677159866715,17.625805510744144,1.0
6,-5.711684568836033e-17,2.529599861054778,-12.06689357365463,0.009333373444780094,0.22537685886638234,0.3365408434551051,19.161916514190857,1.0
7,1.344195645517235e-16,2.282717263860714,-14.570970004641048,-0.3364408522640583,-0.20511804439102746,0.14133481637611386,13.402995830732996,1.0
8,3.4098068721183783e-16,2.0843484255479217,-11.928254324839894,-0.042131817621440124,-0.005058235015471035,0.3523621285620546,6.722796656346655,1.0
9,-2.449830971693527e-16,1.925770623946703,-10.09415357268633,-0.0876720527990052,0.12757200772755228,0.18877817847152165,7.1720631937702795,1.0
10,-5.283881688479438e-16,1.837904305662816,-8.207085305584123,-0.268039193347235,-0.008016999782380851,0.2352538953992286,9.295753068515772,1.0
